Author,Year,arm,n,md,lCI,uCI,se_md,pooled_sd,d,J,g,se_g,notes
Steinert,2011,Aspartame ,4,-0.07,-0.24,0.09,0.084183673,0.168367347,-0.415757576,0.930232558,0.386751233,0.465116279,
Steinert,2011,Sucralose ,4,0,-0.16,0.16,0.081632653,0.163265306,0,0.930232558,0,0.465116279,
Sylvetsky,2016,68mg Sucralose ,10,0.14,-0.22,0.5,0.183673469,0.580826509,0.241035831,0.973913043,-0.234747939,0.307978346,
Sylvetsky,2016,170mg Sucralose ,10,-0.04,-0.39,0.3,0.176020408,0.556625404,-0.071861614,0.973913043,0.069986963,0.307978346,
Sylvetsky,2016,250mg Sucralose ,10,-0.16,-0.5,0.18,0.173469388,0.54855837,-0.29167361,0.973913043,0.284064733,0.307978346,
Sylvetsky,2016,Sucralose  + Acesulfame K: Water ,10.33333333,0.25,-0.12,0.62,0.18877551,0.606828364,0.411978106,0.974789916,-0.401592103,0.303243017,
Sylvetsky,2016,Sucralose  + Acesulfame K; Cola ,10.33333333,0.19,-0.19,0.57,0.193877551,0.623229131,0.304863798,0.974789916,-0.297178156,0.303243017,
Sylvetsky,2016,Sucralose  + Acesulfame K +  Aspartame ,10.33333333,-0.06,-0.44,0.32,0.193877551,0.623229131,-0.096272778,0.974789916,0.093845734,0.303243017,
Temizkan,2015,Healthy; Aspartame ,4,0.33,-0.05,0.7,0.191326531,0.382653061,0.8624,0.888888889,-0.766577778,0.444444444,
Temizkan,2015,Healthy: Sucralose ,4,-0.48,-0.82,-0.14,0.173469388,0.346938776,-1.383529412,0.888888889,1.229803922,0.444444444,
Temizkan,2015,T2D: Aspartame ,4,0.04,-0.7,0.78,0.37755102,0.755102041,0.052972973,0.888888889,-0.047087087,0.444444444,
Temizkan,2015,T20; Sucralose ,4,-0.39,-1.08,0.3,0.352040816,0.704081633,-0.553913043,0.888888889,0.49236715,0.444444444,
Wolf-Novak,1990,Aspartame ,7,0.01,-1.3,1.32,0.668367347,1.768333784,0.005655041,0.869565217,-0.004917427,0.328664759,
WoInerhanssen,2016,Erythritol ,20,0.16,0.08,0.24,0.040816327,0.182536161,0.876538647,0.96,-0.841477101,0.214662526,
Wu,2016,Acesulfame K ,3.333333333,0,-0.61,0.61,0.31122449,0.568215578,0,0.914285714,0,0.50077491,
Wu,2016,Acesulfame K +  Sucralose ,3.333333333,0,-0.61,0.61,0.31122449,0.568215578,0,0.914285714,0,0.50077491,
Wu,2016,Sucralose ,3.333333333,0,-0.61,0.61,0.31122449,0.568215578,0,0.914285714,0,0.50077491,
