"stratum","source_article","source_year","outcome_slug","dataset_id","analysis_variant","n_studies","mu_RE","mu_BC","attenuation_pct","shrink50","sign_flip","log10BF_effect","log10BF_het","log10BF_bias","log10BF_no_bias","log10BF_rigor","rigor_direction","rigor_category","rigor_margin","log10BF_rigor_effect","log10BF_rigor_no_effect","ODR","EDR","Soric_FDR","MissingN"
"protein","schoenfeld2017",2017,"muscle_size","schoenfeld2017_protein_muscle_size","main",23,0.389216300894565,0.146293402713421,-62.4133412765128,TRUE,FALSE,0.0845773335857887,0.283813863941554,0.305728879815881,-0.305728879815881,0.167463473812259,"effect","inconclusive_clean_evidence",2.38844276471599,0.167463473812259,-2.22097929090373,0.09,0.137562139435552,0.329970636889233,0
"creatine","desai2024",2024,"body_fat_mass","desai2024_creatine_body_fat_mass","main",7,0.632856842924802,0.288649220028433,-54.3894921489012,TRUE,FALSE,0.212546648751657,2.34482875058808,0.188371389671451,-0.188371389671451,0.166610611610728,"effect","inconclusive_clean_evidence",0.849296842205292,0.166610611610728,-0.682686230594564,0.43,0.346981716754287,0.099052433240453,0
"caffeine","cai2012",2012,"ldl_cholesterol","cai2012_caffeine_ldl_cholesterol","main",15,0.233809377567947,0.0949161508742379,-59.4044721980176,TRUE,FALSE,0.00469042599585037,0.896725931526368,0.175849997740714,-0.175849997740714,0.162732671332027,"effect","inconclusive_clean_evidence",0.785532148658227,0.162732671332027,-0.6227994773262,0.2,0.22599387937527,0.180257820958776,0
"protein","wycherley2010",2010,"fat_mass","wycherley2010_protein_fat_mass","main",18,0.304005144504341,0.18057006007172,-40.6029590827725,FALSE,FALSE,0.417092331682587,-0.404874876274616,0.311955259132542,-0.311955259132542,0.161613071663197,"effect","inconclusive_clean_evidence",2.42843687737034,0.161613071663197,-2.26682380570714,0.28,0.111800188874123,0.418133091436047,3.68710011727037
"fasting","yang2021",2021,"blood_glucose","yang2021_fasting_blood_glucose","main",34,0.0944206596321757,0.0122241100218117,-87.0535642629147,TRUE,FALSE,-0.670115146890415,0.454634657984834,0.134242382172839,-0.134242382172839,0.146698135208474,"no_effect","inconclusive_clean_evidence",0.600827146782434,-0.45412901157396,0.146698135208474,0.18,0.105173083202734,0.447796643530502,0
"protein","morton2018",2018,"muscle_fiber_size","morton2018_protein_muscle_fiber_size","main",11,0.42863836181893,0.201472591186295,-52.9970695270147,TRUE,FALSE,0.151076294980859,1.28273194555712,0.197371089951755,-0.197371089951755,0.1426895290641,"effect","inconclusive_clean_evidence",0.776868222073465,0.1426895290641,-0.634178693009365,0.45,0.269776094068049,0.142461983232953,0
"fasting","xie2024",2024,"lean_mass","xie2024_fasting_lean_mass","main",15,0.320430553857112,0.12169491015798,-62.0214399990561,TRUE,FALSE,0.0214874826547719,1.44998536186942,0.219379845575042,-0.219379845575042,0.140814197165582,"effect","inconclusive_clean_evidence",0.852547447076724,0.140814197165582,-0.711733249911142,0.2,0.286032481221427,0.13137402322375,0
"protein","orsso2024",2024,"body_weight","orsso2024_protein_body_weight","main",14,0.341574708736982,0.136461582139591,-60.0492721946025,TRUE,FALSE,0.000868589253336409,Inf,0.123824251148696,-0.123824251148696,0.130580967968362,"effect","inconclusive_clean_evidence",0.523994396370146,0.130580967968362,-0.393413428401784,0.36,0.488710142735145,0.0550632985448023,0
"omega3","goldberg2007",2007,"pain_assessment","goldberg2007_omega3_pain_assessment","main",13,0.248944092249639,0.08853308155793,-64.4365605313703,TRUE,FALSE,-0.0727839158437708,0.550262679390968,0.064043956441556,-0.064043956441556,0.126109117056111,"effect","inconclusive_clean_evidence",0.385733969136418,0.126109117056111,-0.259624852080307,0.15,0.142504807238206,0.316700379202021,0
"fasting","vieira2016",2016,"serum_glucose","vieira2016_fasting_serum_glucose","main",24,0.521179778855074,0.173050491697871,-66.7963918174209,TRUE,FALSE,0.134776133816062,Inf,0.308215778999563,-0.308215778999563,0.125362094382105,"effect","inconclusive_clean_evidence",1.30089137044333,0.125362094382105,-1.17552927606123,0.29,0.543323044100015,0.0442381924066093,0
